n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
600,10,1,600,1535,1080.0,False,104.8431,1213.5814,1318.4245,316.0,1080.0251,37,-279.0,"[[600, 0.0], [316, 114.7969], [316, 1318.4245]]","[[600, 0.0], [300, 0.4947], [150, 1.0588], [75, 39.158], [37, 698.1471], [37, 1080.025]]"
600,20,1,600,1535,1080.0,False,107.3498,1069.0525,1176.4023,322.0,1080.0328,75,-247.0,"[[600, 0.0], [322, 117.7066], [322, 1176.4023]]","[[600, 0.0], [300, 6.025], [150, 41.3986], [75, 157.6315], [75, 1080.0328]]"
1000,1,1,1000,2494,1800.0,True,,,,,1800.0514,62,,[],"[[1000, 0.0], [500, 0.0053], [250, 0.0126], [125, 0.0263], [62, 26.6941], [62, 1800.0513]]"
1000,5,1,1000,2494,1800.0,True,,,,,1800.1498,65,,[],"[[1000, 0.0], [500, 0.0051], [250, 3.1531], [125, 17.2801], [65, 1800.1498], [65, 1800.1498]]"
1000,10,1,1000,2494,1800.0,True,,,,,1800.0951,127,,[],"[[1000, 0.0], [500, 0.0045], [250, 3.1638], [127, 1800.095], [127, 1800.095]]"
1000,20,1,1000,2494,1800.0,True,,,,,1800.0937,107,,[],"[[1000, 0.0], [500, 4.4441], [250, 9.1733], [125, 337.5065], [107, 1800.0937], [107, 1800.0937]]"
2000,1,1,2000,5038,3600.0,True,,,,,3600.1185,125,,[],"[[2000, 0.0], [1000, 0.0131], [500, 0.0296], [250, 12.958], [125, 1861.6674], [125, 3600.1185]]"
2000,5,1,2000,5038,3600.0,True,,,,,3645.9927,128,,[],"[[2000, 0.0], [1000, 0.0131], [500, 15.2646], [250, 147.2201], [128, 3645.9926], [128, 3645.9926]]"
2000,10,1,2000,5038,3600.0,True,,,,,3638.0291,208,,[],"[[2000, 0.0], [1000, 0.013], [500, 15.2731], [250, 202.9898], [208, 3638.0291], [208, 3638.0291]]"
2000,20,1,2000,5038,3600.0,True,,,,,3666.6572,250,,[],"[[2000, 0.0], [1000, 0.0131], [500, 145.4428], [250, 1517.6594], [250, 3666.6572]]"
