n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
200,1,1,200,506,360.0,False,3.7058,142.0865,145.7923,15.0,360.0711,17,2.0,"[[200, 0.0], [102, 3.8901], [98, 28.8388], [22, 28.9904], [21, 29.1001], [19, 29.1887], [18, 29.4637], [17, 29.5589], [16, 36.8033], [15, 143.8955], [15, 145.7923]]","[[200, 0.0], [100, 0.0024], [50, 0.004], [25, 0.0063], [21, 0.5771], [20, 1.2784], [19, 1.7718], [18, 4.4807], [17, 11.8371], [17, 360.0711]]"
200,5,1,200,506,360.0,False,3.7974,248.8153,252.6127,18.0,360.0037,18,0.0,"[[200, 0.0], [104, 3.9877], [45, 28.5694], [37, 30.1218], [25, 30.2047], [23, 30.31], [21, 30.3973], [20, 31.2108], [19, 37.3491], [18, 252.5452], [18, 252.6127]]","[[200, 0.0], [100, 0.0187], [50, 0.0619], [25, 3.0795], [23, 12.5751], [22, 15.9939], [21, 23.6038], [20, 33.886], [19, 36.8174], [18, 320.5053], [18, 360.0037]]"
200,10,1,200,506,360.0,False,3.7804,66.6426,70.423,23.0,360.0078,22,-1.0,"[[200, 0.0], [106, 3.9645], [99, 30.9652], [81, 31.0955], [30, 31.2077], [29, 31.2321], [27, 31.3028], [26, 31.3244], [25, 31.57], [24, 31.9859], [23, 70.3706], [23, 70.423]]","[[200, 0.0], [100, 0.047], [50, 0.239], [25, 21.7729], [23, 59.2702], [22, 91.2422], [22, 360.0078]]"
200,20,1,200,506,360.0,False,3.7623,356.5315,360.2938,32.0,360.0096,30,-2.0,"[[200, 0.0], [109, 3.9396], [48, 31.6096], [47, 33.2812], [36, 33.4101], [35, 33.5312], [34, 39.6375], [33, 53.7063], [32, 117.5009], [32, 360.2938]]","[[200, 0.0], [100, 0.0732], [50, 1.1544], [37, 14.4521], [31, 23.5568], [30, 94.7408], [30, 360.0096]]"
400,1,1,400,1037,720.0,False,30.2879,691.6108,721.8987,25.0,720.0198,23,-2.0,"[[400, 0.0], [205, 31.8728], [167, 441.3036], [33, 442.9372], [30, 445.6752], [29, 463.4257], [28, 464.4572], [26, 526.515], [25, 530.3516], [25, 721.8987]]","[[400, 0.0], [200, 0.0055], [100, 0.009], [50, 0.0147], [25, 128.0353], [23, 546.0012], [23, 720.0198]]"
400,5,1,400,1037,720.0,False,32.51,689.2047,721.7147,30.0,720.014,26,-4.0,"[[400, 0.0], [206, 34.4337], [156, 465.8847], [34, 467.3822], [33, 470.8295], [32, 473.007], [31, 479.6612], [30, 550.4221], [30, 721.7147]]","[[400, 0.0], [200, 0.0077], [100, 0.0115], [50, 1.3881], [37, 159.7695], [31, 204.9825], [28, 331.6833], [26, 654.3865], [26, 720.014]]"
400,10,1,400,1037,720.0,False,30.9872,692.9476,723.9348,33.0,720.0198,31,-2.0,"[[400, 0.0], [207, 32.5098], [77, 573.88], [45, 576.8608], [36, 587.2348], [35, 590.7796], [33, 689.2263], [33, 723.9348]]","[[400, 0.0], [200, 0.3104], [100, 0.479], [50, 6.6632], [37, 284.4781], [31, 487.2537], [31, 720.0198]]"
400,20,1,400,1037,720.0,False,32.8747,690.0458,722.9205,44.0,720.0203,48,4.0,"[[400, 0.0], [213, 34.4715], [114, 488.8759], [61, 492.0068], [47, 503.8645], [46, 505.2769], [44, 616.9475], [44, 722.9205]]","[[400, 0.0], [200, 2.8014], [100, 11.584], [50, 96.5297], [48, 691.2731], [48, 720.0202]]"
600,1,1,600,1535,1080.0,False,103.5913,1057.7337,1161.325,312.0,1080.0291,27,-285.0,"[[600, 0.0], [312, 113.5201], [312, 1161.325]]","[[600, 0.0], [300, 0.0645], [150, 0.072], [75, 1.3681], [37, 63.9027], [27, 608.1067], [27, 1080.0291]]"
600,5,1,600,1535,1080.0,False,105.9836,1013.3132,1119.2968,315.0,1080.0298,37,-278.0,"[[600, 0.0], [315, 115.9158], [315, 1119.2968]]","[[600, 0.0], [300, 0.4795], [150, 0.9982], [75, 22.1704], [37, 300.8889], [37, 1080.0298]]"
