name,n,m,c,seed,status,build_time_s,solve_time_s,total_time_s,objective_seeds,seed_nodes,spread,full_spread,spread_history
pa_n12_c1_seed99,12,28,1,99,solved,0.2274,11.3875,11.6149,4,"[0, 2, 7, 8]",6,False,"[4, 5, 6]"
pa_n12_c2_seed99,12,28,2,99,solved,0.2437,464.0194,464.2631,5,"[0, 2, 3, 7, 8]",7,False,"[5, 7]"
pa_n15_c1_seed53,15,36,1,53,solved,0.6703,1199.3391,1200.0094,3,"[3, 7, 13]",8,False,"[3, 5, 6, 7, 8]"
pa_n15_c1_seed99,15,37,1,99,solved,0.7279,288.0549,288.7828,5,"[5, 6, 7, 8, 14]",5,False,[5]
pa_n15_c1_seed101,15,31,1,101,solved,0.6589,1199.381,1200.0398,3,"[9, 12, 13]",4,False,"[3, 4]"
pa_n15_c2_seed53,15,36,2,53,solved,0.698,1199.3586,1200.0566,4,"[0, 7, 12, 13]",9,False,"[4, 6, 8, 9]"
pa_n15_c2_seed101,15,31,2,101,solved,0.6364,321.3132,321.9495,4,"[1, 5, 11, 13]",5,False,"[4, 5]"
