n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
200,1,1,200,506,10,False,3.8278,6.2108,10.0386,102,10.0042,18,-84,"[[200, 0.0], [102, 3.9964], [102, 10.0386]]","[[200, 0.0], [100, 0.001], [50, 0.0024], [25, 0.0046], [21, 0.5663], [20, 1.2754], [19, 1.7716], [18, 4.513], [18, 10.0041]]"
200,1,42,200,514,10,False,3.9954,6.0522,10.0476,105,10.0148,17,-88,"[[200, 0.0], [105, 4.1577], [105, 10.0476]]","[[200, 0.0], [100, 0.001], [50, 0.0021], [25, 0.0044], [18, 0.0903], [17, 0.3388], [17, 10.0147]]"
