algorithm,n_nodes,c,seed,total_time,K,history
goldberg_liu,400,1,7,723.4615,25.0,"[[400, 0.0], [201, 31.6881], [118, 458.9722], [29, 461.5152], [28, 464.4751], [27, 567.5448], [26, 708.2726], [25, 709.5734], [25, 723.4615]]"
high_thetas,400,1,7,0.0591,43.0,"[[400, 0.0], [200, 0.0052], [100, 0.0094], [50, 0.0156], [43, 0.0402], [43, 0.0591]]"
ns_binary_search,400,1,7,720.0157,25.0,"[[400, 0.0], [200, 0.0082], [100, 0.0125], [50, 0.0186], [37, 120.6435], [31, 124.9059], [28, 151.339], [26, 186.2549], [25, 452.0253], [25, 720.0157]]"
betweenness,400,5,7,0.9059,117.0,"[[400, 0.0], [200, 0.1279], [117, 0.2574], [117, 0.9059]]"
degree,400,5,7,0.0211,122.0,"[[400, 0.0], [200, 0.0017], [122, 0.0055], [122, 0.0211]]"
degree_connected,400,5,7,0.1195,122.0,"[[400, 0.0], [200, 0.0286], [122, 0.0425], [122, 0.1195]]"
degree_discount,400,5,7,0.0346,203.0,"[[400, 0.0], [203, 0.0126], [203, 0.0346]]"
degree_threshold,400,5,7,0.0276,71.0,"[[400, 0.0], [200, 0.0017], [100, 0.004], [72, 0.0095], [71, 0.0276], [71, 0.0276]]"
goldberg_liu,400,5,7,722.5693,29.0,"[[400, 0.0], [204, 31.7264], [67, 542.2979], [57, 561.9488], [34, 564.7465], [30, 669.0429], [29, 669.2748], [29, 722.5693]]"
high_thetas,400,5,7,0.0569,42.0,"[[400, 0.0], [200, 0.0052], [100, 0.0095], [50, 0.0161], [43, 0.0338], [42, 0.0569], [42, 0.0569]]"
ns_binary_search,400,5,7,720.613,26.0,"[[400, 0.0], [200, 0.0089], [100, 0.0133], [50, 0.0203], [37, 120.1428], [31, 132.4722], [28, 189.7431], [26, 418.4147], [26, 720.6129]]"
betweenness,400,10,7,0.2543,202.0,"[[400, 0.0], [202, 0.1271], [202, 0.2543]]"
degree,400,10,7,0.0034,202.0,"[[400, 0.0], [202, 0.0017], [202, 0.0034]]"
degree_connected,400,10,7,0.0875,208.0,"[[400, 0.0], [212, 0.0284], [208, 0.0579], [208, 0.0875]]"
degree_discount,400,10,7,0.0551,214.0,"[[400, 0.0], [214, 0.0114], [214, 0.0551]]"
degree_threshold,400,10,7,0.0061,102.0,"[[400, 0.0], [200, 0.0017], [102, 0.0039], [102, 0.0061]]"
goldberg_liu,400,10,7,721.8872,33.0,"[[400, 0.0], [204, 31.6037], [71, 583.2877], [50, 586.0951], [49, 598.0045], [37, 600.5202], [34, 602.521], [33, 604.8758], [33, 721.8872]]"
high_thetas,400,10,7,0.0503,47.0,"[[400, 0.0], [200, 0.0051], [100, 0.0091], [50, 0.0162], [48, 0.0413], [47, 0.0503], [47, 0.0503]]"
ns_binary_search,400,10,7,720.0174,31.0,"[[400, 0.0], [200, 0.0103], [100, 0.0148], [50, 0.022], [37, 132.1871], [31, 213.6785], [31, 720.0174]]"
betweenness,400,20,7,0.6437,209.0,"[[400, 0.0], [209, 0.1282], [209, 0.6437]]"
degree,400,20,7,0.008,209.0,"[[400, 0.0], [209, 0.0018], [209, 0.008]]"
degree_connected,400,20,7,0.1853,220.0,"[[400, 0.0], [222, 0.0284], [220, 0.0589], [220, 0.1852]]"
degree_discount,400,20,7,0.0659,227.0,"[[400, 0.0], [227, 0.0114], [227, 0.0659]]"
degree_threshold,400,20,7,0.0039,203.0,"[[400, 0.0], [203, 0.0014], [203, 0.0039]]"
goldberg_liu,400,20,7,761.006,211.0,"[[400, 0.0], [211, 33.142], [211, 761.006]]"
high_thetas,400,20,7,0.0418,54.0,"[[400, 0.0], [200, 0.0049], [100, 0.009], [75, 0.0178], [62, 0.0233], [56, 0.0294], [54, 0.0418], [54, 0.0418]]"
ns_binary_search,400,20,7,720.0185,44.0,"[[400, 0.0], [200, 0.0221], [100, 0.0266], [50, 19.4191], [46, 369.7604], [44, 674.5628], [44, 720.0184]]"
betweenness,600,1,7,2.7058,82.0,"[[600, 0.0], [300, 0.2925], [150, 0.5837], [112, 1.1906], [93, 1.4881], [84, 1.7886], [82, 2.7058], [82, 2.7058]]"
degree,600,1,7,0.0987,86.0,"[[600, 0.0], [300, 0.003], [150, 0.0088], [112, 0.0327], [93, 0.045], [88, 0.0717], [86, 0.0857], [86, 0.0987]]"
degree_connected,600,1,7,0.2955,86.0,"[[600, 0.0], [300, 0.0829], [150, 0.1164], [112, 0.1685], [93, 0.1945], [88, 0.2449], [86, 0.2712], [86, 0.2955]]"
degree_discount,600,1,7,0.2141,119.0,"[[600, 0.0], [300, 0.0247], [150, 0.0483], [131, 0.1234], [121, 0.1469], [119, 0.2141], [119, 0.2141]]"
